country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Gabon,104e3,104e3,105e3,105e3,108e3,11e4,109e3,111e3,121e3,142e3,168e3,2e5,233e3,266e3,303e3,35e4,406e3,473e3,532e3,577e3,612e3
Gambia,4e4,44e3,5e4,59e3,69e3,84e3,101e3,12e4,144e3,164e3,19e4,22e4,254e3,296e3,342e3,39e4,446e3,521e3,614e3,72e4,829e3
Georgia,698e3,79e4,802e3,829e3,973e3,1075e3,1287e3,1271e3,121e4,1132e3,1082e3,1175e3,1171e3,1131e3,106e4,996e3,1035e3,1053e3,983e3,898e3,799e3
Germany,19521e3,20227e3,18809e3,18172e3,17653e3,17502e3,20167e3,20616e3,20894e3,21805e3,21938e3,23677e3,25646e3,2517e4,23793e3,21804e3,20194e3,19587e3,19042e3,1802e4,16661e3
Ghana,637e3,752e3,886e3,102e4,1125e3,1276e3,1399e3,1652e3,193e4,2216e3,2575e3,3016e3,351e4,4146e3,4866e3,5662e3,6522e3,7418e3,8269e3,9092e3,9931e3
Greece,1539e3,1721e3,1815e3,1893e3,2118e3,2222e3,2466e3,2536e3,2522e3,2609e3,2738e3,2979e3,3168e3,3334e3,3453e3,3475e3,3294e3,3068e3,2812e3,2634e3,259e4
Grenada,11e3,12e3,12e3,12e3,13e3,13e3,12e3,12e3,13e3,14e3,14e3,18e3,18e3,21e3,22e3,23e3,29e3,31e3,29e3,27e3,22e3
Guadeloupe,33e3,37e3,44e3,48e3,52e3,52e3,54e3,62e3,72e3,84e3,99e3,117e3,128e3,132e3,126e3,123e3,121e3,121e3,125e3,122e3,119e3
Guam,7e3,7e3,9e3,1e4,13e3,14e3,16e3,18e3,22e3,28e3,32e3,39e3,44e3,47e3,49e3,49e3,49e3,53e3,59e3,61e3,63e3
Guatemala,4e5,45e4,505e3,586e3,702e3,824e3,927e3,1014e3,113e4,1256e3,139e4,1581e3,1799e3,211e4,255e4,3105e3,3723e3,444e4,5182e3,593e4,6662e3
Guinea,402e3,442e3,487e3,535e3,578e3,575e3,626e3,706e3,807e3,988e3,1115e3,122e4,1373e3,1595e3,1869e3,2214e3,2641e3,3141e3,3692e3,4305e3,4983e3
Guinea-Bissau,8e4,89e3,96e3,98e3,99e3,104e3,119e3,132e3,144e3,177e3,194e3,211e3,217e3,256e3,294e3,332e3,385e3,425e3,49e4,573e3,666e3
Guyana,6e4,68e3,77e3,86e3,91e3,93e3,97e3,94e3,96e3,107e3,124e3,159e3,175e3,182e3,175e3,167e3,152e3,147e3,156e3,154e3,148e3
Haiti,502e3,574e3,628e3,664e3,701e3,746e3,816e3,896e3,962e3,1072e3,1196e3,1349e3,1534e3,1696e3,1948e3,233e4,2729e3,3129e3,3455e3,3621e3,3763e3
Honduras,214e3,237e3,255e3,293e3,33e4,373e3,424e3,469e3,536e3,637e3,763e3,921e3,11e5,1293e3,1543e3,1851e3,2196e3,2571e3,289e4,3122e3,3294e3
"Hong Kong, China",299e3,431e3,573e3,7e5,791e3,91e4,995e3,103e4,1152e3,1415e3,183e4,2275e3,2458e3,2538e3,2469e3,2373e3,2367e3,2421e3,2403e3,224e4,2126e3
Hungary,236e4,2554e3,2404e3,252e4,2567e3,2556e3,2698e3,2618e3,2603e3,277e4,2853e3,2762e3,2719e3,2686e3,2817e3,2912e3,2904e3,2782e3,2505e3,2342e3,2226e3
Iceland,29e3,31e3,34e3,37e3,38e3,41e3,43e3,44e3,5e4,58e3,68e3,78e3,87e3,94e3,99e3,102e3,105e3,105e3,102e3,97e3,95e3
India,60553e3,65945e3,71168e3,78106e3,86056e3,96086e3,107632e3,118828e3,132008e3,154234e3,17919e4,207547e3,237113e3,263278e3,293708e3,327216e3,362343e3,397306e3,424142e3,443907e3,454601e3
Indonesia,11483e3,12626e3,13814e3,1517e4,17093e3,19542e3,22582e3,25453e3,2782e4,31249e3,36279e3,42786e3,50802e3,58587e3,65296e3,7098e4,74479e3,76227e3,76779e3,76993e3,76945e3
Iran,2765e3,2975e3,3243e3,3526e3,3874e3,506e4,5463e3,5986e3,6692e3,7897e3,10089e3,12019e3,14502e3,16783e3,19874e3,24701e3,28921e3,30703e3,29169e3,26065e3,23744e3
Iraq,1093e3,1201e3,1293e3,1345e3,1402e3,1499e3,1629e3,1811e3,1925e3,2458e3,2917e3,3487e3,4353e3,5323e3,6636e3,801e4,9338e3,10826e3,12549e3,14183e3,15623e3
Ireland,634e3,663e3,641e3,64e4,629e3,62e4,621e3,637e3,705e3,793e3,91e4,1032e3,1144e3,1286e3,1447e3,1562e3,1608e3,1571e3,15e5,148e4,1533e3
Israel,253e3,385e3,444e3,533e3,558e3,595e3,634e3,663e3,785e3,1053e3,1263e3,1443e3,1536e3,1668e3,1817e3,1972e3,2111e3,2196e3,2312e3,2462e3,2617e3
Italy,10434e3,11656e3,11578e3,12411e3,12803e3,13077e3,1429e4,14156e3,14381e3,14543e3,14835e3,16155e3,17319e3,18511e3,18757e3,1779e4,16238e3,14699e3,13659e3,13332e3,13361e3
Jamaica,242e3,276e3,275e3,274e3,278e3,288e3,283e3,297e3,317e3,356e3,413e3,505e3,577e3,621e3,617e3,599e3,597e3,635e3,684e3,694e3,68e4
Japan,14543e3,16306e3,17591e3,19406e3,22455e3,25896e3,29101e3,32154e3,35456e3,36551e3,35962e3,34938e3,33029e3,33922e3,34641e3,34182e3,32191e3,28603e3,2624e4,24527e3,23267e3
Jordan,65e3,82e3,105e3,127e3,187e3,228e3,263e3,312e3,356e3,492e3,591e3,713e3,967e3,1234e3,1531e3,1844e3,2076e3,2264e3,2433e3,2543e3,2702e3
Kazakhstan,123e4,1473e3,164e4,1797e3,2184e3,2337e3,2913e3,2874e3,2924e3,3126e3,3042e3,3542e3,377e4,3887e3,3987e3,4187e3,4641e3,4829e3,4686e3,4524e3,449e4
Kenya,973e3,1044e3,1118e3,1217e3,1359e3,1554e3,1741e3,1923e3,2259e3,2817e3,3468e3,4129e3,473e4,5549e3,6776e3,836e4,10168e3,11734e3,13207e3,14907e3,17091e3
"Korea, Dem. Rep.",656e3,856e3,1196e3,1687e3,2202e3,2764e3,3526e3,4193e3,467e4,4635e3,4954e3,5259e3,6156e3,7267e3,7143e3,7286e3,6959e3,6927e3,7295e3,7091e3,6785e3
"Korea, Rep.",3013e3,3297e3,3771e3,4125e3,4627e3,5335e3,6365e3,724e4,8321e3,9514e3,11305e3,1321e4,14929e3,16104e3,15813e3,15352e3,14273e3,13551e3,13035e3,11778e3,10923e3
Kuwait,2e4,24e3,31e3,51e3,79e3,119e3,183e3,246e3,309e3,276e3,441e3,537e3,704e3,927e3,1129e3,1267e3,1309e3,1294e3,1262e3,1266e3,1318e3
Kyrgyzstan,353e3,369e3,358e3,378e3,47e4,534e3,643e3,625e3,609e3,638e3,761e3,968e3,11e5,1218e3,1309e3,1433e3,1637e3,1783e3,1853e3,1832e3,1817e3
Laos,253e3,289e3,326e3,362e3,399e3,434e3,457e3,479e3,511e3,583e3,678e3,805e3,953e3,1111e3,1281e3,1492e3,1772e3,2086e3,2409e3,2578e3,2689e3
Latvia,452e3,485e3,506e3,511e3,557e3,589e3,666e3,685e3,669e3,627e3,61e4,61e4,617e3,611e3,597e3,596e3,631e3,606e3,548e3,481e3,414e3
Lebanon,255e3,278e3,291e3,324e3,361e3,41e4,434e3,43e4,424e3,564e3,693e3,821e3,952e3,1075e3,1175e3,127e4,1338e3,1391e3,1426e3,1381e3,1322e3
Lesotho,111e3,121e3,128e3,136e3,142e3,155e3,169e3,19e4,202e3,212e3,238e3,25e4,237e3,227e3,243e3,287e3,346e3,403e3,448e3,474e3,492e3
Liberia,121e3,135e3,153e3,173e3,195e3,221e3,25e4,282e3,269e3,236e3,357e3,442e3,564e3,646e3,749e3,876e3,1033e3,1233e3,1443e3,1665e3,1899e3
Libya,144e3,149e3,18e4,222e3,256e3,302e3,381e3,465e3,547e3,652e3,797e3,965e3,1185e3,1475e3,1797e3,2168e3,2351e3,2392e3,2393e3,2373e3,251e4
Lithuania,587e3,595e3,579e3,6e5,655e3,741e3,846e3,874e3,87e4,844e3,855e3,907e3,92e4,913e3,857e3,82e4,831e3,827e3,795e3,717e3,628e3
Luxembourg,81e3,88e3,85e3,84e3,84e3,88e3,92e3,94e3,97e3,104e3,115e3,131e3,147e3,157e3,161e3,162e3,164e3,171e3,179e3,186e3,192e3
"Macao, China",36e3,36e3,33e3,36e3,43e3,44e3,42e3,44e3,6e4,87e3,123e3,161e3,191e3,206e3,199e3,194e3,195e3,187e3,178e3,159e3,138e3
"Macedonia, FYR",192e3,223e3,22e4,241e3,279e3,32e4,372e3,39e4,419e3,453e3,491e3,53e4,558e3,566e3,579e3,593e3,599e3,599e3,571e3,526e3,478e3
Madagascar,725e3,77e4,803e3,849e3,898e3,997e3,1101e3,1197e3,1312e3,1542e3,185e4,2243e3,2716e3,324e4,3846e3,4418e3,5203e3,6154e3,7242e3,8458e3,9562e3
Malawi,347e3,378e3,435e3,489e3,56e4,644e3,749e3,872e3,1097e3,1204e3,1384e3,1582e3,1738e3,1927e3,2298e3,2728e3,3265e3,4059e3,4942e3,5904e3,6926e3
Malaysia,883e3,1016e3,1155e3,1302e3,1434e3,1618e3,1905e3,2179e3,2667e3,3343e3,4204e3,5183e3,5992e3,6691e3,7278e3,798e4,8741e3,949e4,10081e3,10433e3,10643e3
Maldives,16e3,16e3,17e3,18e3,19e3,2e4,21e3,23e3,25e3,27e3,32e3,39e3,52e3,64e3,78e3,98e3,117e3,132e3,136e3,129e3,119e3
Mali,647e3,711e3,78e4,847e3,907e3,959e3,1008e3,1063e3,1108e3,1144e3,1225e3,1367e3,1578e3,1859e3,2166e3,2576e3,3058e3,359e4,4165e3,4795e3,5541e3
