country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Israel,78e3,124e3,17e4,24e4,308e3,395e3,443e3,51e4,557e3,702e3,804e3,883e3,1061e3,1248e3,1423e3,1587e3,1759e3,1978e3,2194e3,2393e3,2584e3
Italy,5577e3,6199e3,6904e3,7716e3,8795e3,9757e3,9777e3,10782e3,11912e3,13007e3,13938e3,14785e3,16016e3,16842e3,17758e3,19153e3,20716e3,22114e3,22794e3,22766e3,22309e3
Jamaica,81e3,97e3,108e3,142e3,158e3,17e4,198e3,215e3,23e4,236e3,255e3,274e3,293e3,321e3,37e4,443e3,51e4,556e3,574e3,592e3,618e3
Japan,6374e3,7197e3,8223e3,9449e3,11054e3,13059e3,14996e3,17707e3,21456e3,25556e3,29539e3,33785e3,38708e3,41562e3,42668e3,43484e3,44497e3,46328e3,46694e3,46193e3,44914e3
Jordan,35e3,44e3,55e3,6e4,77e3,83e3,103e3,139e3,154e3,177e3,229e3,3e5,359e3,409e3,492e3,631e3,831e3,1083e3,1362e3,168e4,1954e3
Kazakhstan,683e3,732e3,825e3,959e3,1075e3,1207e3,1226e3,1311e3,1587e3,1595e3,1669e3,1562e3,1608e3,1846e3,215e4,2463e3,2675e3,2932e3,3202e3,3541e3,3993e3
Kenya,385e3,424e3,475e3,535e3,598e3,665e3,744e3,843e3,976e3,1149e3,1304e3,1439e3,1692e3,2075e3,2506e3,2962e3,3472e3,4173e3,5174e3,6458e3,7939e3
"Korea, Dem. Rep.",383e3,324e3,297e3,285e3,346e3,547e3,802e3,1166e3,157e4,2071e3,2662e3,3141e3,3432e3,332e4,3746e3,4183e3,5036e3,5708e3,5712e3,5928e3,6065e3
"Korea, Rep.",1e6,1198e3,15e5,151e4,1703e3,1945e3,2268e3,2756e3,3304e3,4127e3,5222e3,6332e3,7564e3,9068e3,11266e3,13401e3,15296e3,16877e3,17674e3,18224e3,17982e3
Kuwait,6e3,8e3,1e4,11e3,19e3,27e3,32e3,35e3,44e3,37e3,59e3,83e3,124e3,183e3,283e3,417e3,603e3,816e3,1031e3,1197e3,1307e3
Kyrgyzstan,216e3,215e3,22e4,245e3,266e3,28e4,281e3,309e3,364e3,364e3,406e3,382e3,403e3,48e4,602e3,74e4,849e3,981e3,1109e3,1265e3,1454e3
